id,role,start_time,end_time,required_skill
S1,morning_cook,2025-07-01T09:00:00,2025-07-01T17:00:00,cook
S2,evening_cashier,2025-07-01T17:00:00,2025-07-01T21:00:00,cashier
S3,day_manager,2025-07-01T08:00:00,2025-07-01T16:00:00,manager
S4,morning_cook,2025-07-01T09:00:00,2025-07-01T17:00:00,cook
S5,evening_cashier,2025-07-01T17:00:00,2025-07-01T21:00:00,cashier
S6,day_manager,2025-07-01T08:00:00,2025-07-01T16:00:00,manager
S7,morning_cook,2025-07-02T09:00:00,2025-07-02T17:00:00,cook
S8,evening_cashier,2025-07-02T17:00:00,2025-07-02T21:00:00,cashier
S9,day_manager,2025-07-02T08:00:00,2025-07-02T16:00:00,manager
S10,morning_cook,2025-07-02T09:00:00,2025-07-02T17:00:00,cook
S11,evening_cashier,2025-07-02T17:00:00,2025-07-02T21:00:00,cashier
S12,day_manager,2025-07-02T08:00:00,2025-07-02T16:00:00,manager
S13,morning_cook,2025-07-03T09:00:00,2025-07-03T17:00:00,cook
S14,evening_cashier,2025-07-03T17:00:00,2025-07-03T21:00:00,cashier
S15,day_manager,2025-07-03T08:00:00,2025-07-03T16:00:00,manager
S16,morning_cook,2025-07-03T09:00:00,2025-07-03T17:00:00,cook
S17,evening_cashier,2025-07-03T17:00:00,2025-07-03T21:00:00,cashier
S18,day_manager,2025-07-03T08:00:00,2025-07-03T16:00:00,manager
S19,morning_cook,2025-07-04T09:00:00,2025-07-04T17:00:00,cook
S20,evening_cashier,2025-07-04T17:00:00,2025-07-04T21:00:00,cashier
S21,day_manager,2025-07-04T08:00:00,2025-07-04T16:00:00,manager
S22,morning_cook,2025-07-04T09:00:00,2025-07-04T17:00:00,cook
S23,evening_cashier,2025-07-04T17:00:00,2025-07-04T21:00:00,cashier
S24,day_manager,2025-07-04T08:00:00,2025-07-04T16:00:00,manager
S25,morning_cook,2025-07-05T09:00:00,2025-07-05T17:00:00,cook
S26,evening_cashier,2025-07-05T17:00:00,2025-07-05T21:00:00,cashier
S27,day_manager,2025-07-05T08:00:00,2025-07-05T16:00:00,manager
S28,morning_cook,2025-07-05T09:00:00,2025-07-05T17:00:00,cook
S29,evening_cashier,2025-07-05T17:00:00,2025-07-05T21:00:00,cashier
S30,day_manager,2025-07-05T08:00:00,2025-07-05T16:00:00,manager
S31,morning_cook,2025-07-06T09:00:00,2025-07-06T17:00:00,cook
S32,evening_cashier,2025-07-06T17:00:00,2025-07-06T21:00:00,cashier
S33,day_manager,2025-07-06T08:00:00,2025-07-06T16:00:00,manager
S34,morning_cook,2025-07-06T09:00:00,2025-07-06T17:00:00,cook
S35,evening_cashier,2025-07-06T17:00:00,2025-07-06T21:00:00,cashier
S36,day_manager,2025-07-06T08:00:00,2025-07-06T16:00:00,manager
S37,morning_cook,2025-07-07T09:00:00,2025-07-07T17:00:00,cook
S38,evening_cashier,2025-07-07T17:00:00,2025-07-07T21:00:00,cashier
S39,day_manager,2025-07-07T08:00:00,2025-07-07T16:00:00,manager
S40,morning_cook,2025-07-07T09:00:00,2025-07-07T17:00:00,cook
S41,evening_cashier,2025-07-07T17:00:00,2025-07-07T21:00:00,cashier
S42,day_manager,2025-07-07T08:00:00,2025-07-07T16:00:00,manager
S43,morning_cook,2025-07-08T09:00:00,2025-07-08T17:00:00,cook
S44,evening_cashier,2025-07-08T17:00:00,2025-07-08T21:00:00,cashier
S45,day_manager,2025-07-08T08:00:00,2025-07-08T16:00:00,manager
S46,morning_cook,2025-07-08T09:00:00,2025-07-08T17:00:00,cook
S47,evening_cashier,2025-07-08T17:00:00,2025-07-08T21:00:00,cashier
S48,day_manager,2025-07-08T08:00:00,2025-07-08T16:00:00,manager
S49,morning_cook,2025-07-09T09:00:00,2025-07-09T17:00:00,cook
S50,evening_cashier,2025-07-09T17:00:00,2025-07-09T21:00:00,cashier
S51,day_manager,2025-07-09T08:00:00,2025-07-09T16:00:00,manager
S52,morning_cook,2025-07-09T09:00:00,2025-07-09T17:00:00,cook
S53,evening_cashier,2025-07-09T17:00:00,2025-07-09T21:00:00,cashier
S54,day_manager,2025-07-09T08:00:00,2025-07-09T16:00:00,manager
S55,morning_cook,2025-07-10T09:00:00,2025-07-10T17:00:00,cook
S56,evening_cashier,2025-07-10T17:00:00,2025-07-10T21:00:00,cashier
S57,day_manager,2025-07-10T08:00:00,2025-07-10T16:00:00,manager
S58,morning_cook,2025-07-10T09:00:00,2025-07-10T17:00:00,cook
S59,evening_cashier,2025-07-10T17:00:00,2025-07-10T21:00:00,cashier
S60,day_manager,2025-07-10T08:00:00,2025-07-10T16:00:00,manager
S61,morning_cook,2025-07-11T09:00:00,2025-07-11T17:00:00,cook
S62,evening_cashier,2025-07-11T17:00:00,2025-07-11T21:00:00,cashier
S63,day_manager,2025-07-11T08:00:00,2025-07-11T16:00:00,manager
S64,morning_cook,2025-07-11T09:00:00,2025-07-11T17:00:00,cook
S65,evening_cashier,2025-07-11T17:00:00,2025-07-11T21:00:00,cashier
S66,day_manager,2025-07-11T08:00:00,2025-07-11T16:00:00,manager
S67,morning_cook,2025-07-12T09:00:00,2025-07-12T17:00:00,cook
S68,evening_cashier,2025-07-12T17:00:00,2025-07-12T21:00:00,cashier
S69,day_manager,2025-07-12T08:00:00,2025-07-12T16:00:00,manager
S70,morning_cook,2025-07-12T09:00:00,2025-07-12T17:00:00,cook
S71,evening_cashier,2025-07-12T17:00:00,2025-07-12T21:00:00,cashier
S72,day_manager,2025-07-12T08:00:00,2025-07-12T16:00:00,manager
S73,morning_cook,2025-07-13T09:00:00,2025-07-13T17:00:00,cook
S74,evening_cashier,2025-07-13T17:00:00,2025-07-13T21:00:00,cashier
S75,day_manager,2025-07-13T08:00:00,2025-07-13T16:00:00,manager
S76,morning_cook,2025-07-13T09:00:00,2025-07-13T17:00:00,cook
S77,evening_cashier,2025-07-13T17:00:00,2025-07-13T21:00:00,cashier
S78,day_manager,2025-07-13T08:00:00,2025-07-13T16:00:00,manager
S79,morning_cook,2025-07-14T09:00:00,2025-07-14T17:00:00,cook
S80,evening_cashier,2025-07-14T17:00:00,2025-07-14T21:00:00,cashier
S81,day_manager,2025-07-14T08:00:00,2025-07-14T16:00:00,manager
S82,morning_cook,2025-07-14T09:00:00,2025-07-14T17:00:00,cook
S83,evening_cashier,2025-07-14T17:00:00,2025-07-14T21:00:00,cashier
S84,day_manager,2025-07-14T08:00:00,2025-07-14T16:00:00,manager
S85,morning_cook,2025-07-01T09:00:00,2025-07-01T17:00:00,cook
S86,evening_cashier,2025-07-01T17:00:00,2025-07-01T21:00:00,cashier
S87,day_manager,2025-07-01T08:00:00,2025-07-01T16:00:00,manager
S88,morning_cook,2025-07-02T09:00:00,2025-07-02T17:00:00,cook
S89,evening_cashier,2025-07-02T17:00:00,2025-07-02T21:00:00,cashier
S90,day_manager,2025-07-02T08:00:00,2025-07-02T16:00:00,manager
S91,morning_cook,2025-07-03T09:00:00,2025-07-03T17:00:00,cook
S92,evening_cashier,2025-07-03T17:00:00,2025-07-03T21:00:00,cashier
S93,day_manager,2025-07-03T08:00:00,2025-07-03T16:00:00,manager
S94,morning_cook,2025-07-04T09:00:00,2025-07-04T17:00:00,cook
