id,role,start_time,end_time,required_skill
S1,Manager Shift,2025-07-01T09:00:00,2025-07-01T17:00:00,manager
S2,Cashier Shift,2025-07-01T09:00:00,2025-07-01T13:00:00,cashier
S3,Stocker Shift,2025-07-01T06:00:00,2025-07-01T14:00:00,stocker
S4,Cashier Shift,2025-07-01T13:00:00,2025-07-01T17:00:00,cashier
S5,Manager Shift,2025-07-01T17:00:00,2025-07-02T01:00:00,manager
S6,Cashier Shift,2025-07-01T17:00:00,2025-07-01T21:00:00,cashier
S7,Stocker Shift,2025-07-01T14:00:00,2025-07-01T22:00:00,stocker
S8,Cashier Shift,2025-07-01T21:00:00,2025-07-02T01:00:00,cashier
S9,Manager Shift,2025-07-02T09:00:00,2025-07-02T17:00:00,manager
S10,Cashier Shift,2025-07-02T09:00:00,2025-07-02T13:00:00,cashier
S11,Stocker Shift,2025-07-02T06:00:00,2025-07-02T14:00:00,stocker
S12,Cashier Shift,2025-07-02T13:00:00,2025-07-02T17:00:00,cashier
S13,Manager Shift,2025-07-02T17:00:00,2025-07-03T01:00:00,manager
S14,Cashier Shift,2025-07-02T17:00:00,2025-07-02T21:00:00,cashier
S15,Stocker Shift,2025-07-02T14:00:00,2025-07-02T22:00:00,stocker
S16,Cashier Shift,2025-07-02T21:00:00,2025-07-03T01:00:00,cashier
S17,Manager Shift,2025-07-03T09:00:00,2025-07-03T17:00:00,manager
S18,Cashier Shift,2025-07-03T09:00:00,2025-07-03T13:00:00,cashier
S19,Stocker Shift,2025-07-03T06:00:00,2025-07-03T14:00:00,stocker
S20,Cashier Shift,2025-07-03T13:00:00,2025-07-03T17:00:00,cashier
S21,Manager Shift,2025-07-03T17:00:00,2025-07-04T01:00:00,manager
S22,Cashier Shift,2025-07-03T17:00:00,2025-07-03T21:00:00,cashier
S23,Stocker Shift,2025-07-03T14:00:00,2025-07-03T22:00:00,stocker
S24,Cashier Shift,2025-07-03T21:00:00,2025-07-04T01:00:00,cashier
S25,Manager Shift,2025-07-04T09:00:00,2025-07-04T17:00:00,manager
S26,Cashier Shift,2025-07-04T09:00:00,2025-07-04T13:00:00,cashier
S27,Stocker Shift,2025-07-04T06:00:00,2025-07-04T14:00:00,stocker
S28,Cashier Shift,2025-07-04T13:00:00,2025-07-04T17:00:00,cashier
S29,Manager Shift,2025-07-04T17:00:00,2025-07-05T01:00:00,manager
S30,Cashier Shift,2025-07-04T17:00:00,2025-07-04T21:00:00,cashier
S31,Stocker Shift,2025-07-04T14:00:00,2025-07-04T22:00:00,stocker
S32,Cashier Shift,2025-07-04T21:00:00,2025-07-05T01:00:00,cashier
S33,Manager Shift,2025-07-05T09:00:00,2025-07-05T17:00:00,manager
S34,Cashier Shift,2025-07-05T09:00:00,2025-07-05T13:00:00,cashier
S35,Stocker Shift,2025-07-05T06:00:00,2025-07-05T14:00:00,stocker
S36,Cashier Shift,2025-07-05T13:00:00,2025-07-05T17:00:00,cashier
S37,Manager Shift,2025-07-05T17:00:00,2025-07-06T01:00:00,manager
S38,Cashier Shift,2025-07-05T17:00:00,2025-07-05T21:00:00,cashier
S39,Stocker Shift,2025-07-05T14:00:00,2025-07-05T22:00:00,stocker
S40,Cashier Shift,2025-07-05T21:00:00,2025-07-06T01:00:00,cashier
S41,Manager Shift,2025-07-06T09:00:00,2025-07-06T17:00:00,manager
S42,Cashier Shift,2025-07-06T09:00:00,2025-07-06T13:00:00,cashier
S43,Stocker Shift,2025-07-06T06:00:00,2025-07-06T14:00:00,stocker
S44,Cashier Shift,2025-07-06T13:00:00,2025-07-06T17:00:00,cashier
S45,Manager Shift,2025-07-06T17:00:00,2025-07-07T01:00:00,manager
S46,Cashier Shift,2025-07-06T17:00:00,2025-07-06T21:00:00,cashier
S47,Stocker Shift,2025-07-06T14:00:00,2025-07-06T22:00:00,stocker
S48,Cashier Shift,2025-07-06T21:00:00,2025-07-07T01:00:00,cashier
S49,Manager Shift,2025-07-07T09:00:00,2025-07-07T17:00:00,manager
S50,Cashier Shift,2025-07-07T09:00:00,2025-07-07T13:00:00,cashier
S51,Stocker Shift,2025-07-07T06:00:00,2025-07-07T14:00:00,stocker
S52,Cashier Shift,2025-07-07T13:00:00,2025-07-07T17:00:00,cashier
